code,description
1,Kein Zugang/Keine Prüfung
2,Türflügel richten (2 Mann)
3,Unzulässige Feststellung
4,Keine Sicherheitseinrichtungen
5,AP-Mehrfachverriegelung
6,FH-Drücker-Garnitur Edelstahl
7,RMZ
8,FH-Anti-Panikschloss Stahlblechtür
9,Fluchtwegsteuerung
10,Schere beschädigt
11,E-Öffner BS Rohrahmen
12,Bodenspalt >10mm
13,Dichtungen erneuern
14,Kein Kennzeichnungsschild
15,Auto-Bodendichtung (1 Mann)
16,Betrieb eines Kraftantriebes ohne Sicherheitseinrichtungen
17,FH-Drücker-Garnitur Alu
18,Boden steigt an
19,Ge TS 4000 Neumontage
20,Fluchtweg ohne Panikschloss
